URL	
https://www.apartments.com/133-eutaw-east-boston-ma/4t6n50h/	"""https://www.apartments.com/133-eutaw-east-boston-ma/4t6n50h/"","
https://www.apartments.com/133-paris-boston-ma/qz93p8w/	"""https://www.apartments.com/133-paris-boston-ma/qz93p8w/"","
https://www.apartments.com/1330-boylston-boston-ma/rz32l90/	"""https://www.apartments.com/1330-boylston-boston-ma/rz32l90/"","
https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl3-id574/nete4en/	"""https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl3-id574/nete4en/"","
https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl4-id412/g34yx7w/	"""https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl4-id412/g34yx7w/"","
https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl5-id458/tcq88fc/	"""https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl5-id458/tcq88fc/"","
https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl7-id85/bwgdpl8/	"""https://www.apartments.com/135-clarendon-st-boston-ma-unit-fl7-id85/bwgdpl8/"","
https://www.apartments.com/1350-boylston-st-boston-ma-unit-fl2-id897/h5d8113/	"""https://www.apartments.com/1350-boylston-st-boston-ma-unit-fl2-id897/h5d8113/"","
https://www.apartments.com/1350-boylston-st-boston-ma-unit-fl4-id690/j7h2yg5/	"""https://www.apartments.com/1350-boylston-st-boston-ma-unit-fl4-id690/j7h2yg5/"","
https://www.apartments.com/1350-boylston-st-boston-ma-unit-fl6-id858/9kd2336/	"""https://www.apartments.com/1350-boylston-st-boston-ma-unit-fl6-id858/9kd2336/"","
https://www.apartments.com/1387-washington-st-boston-ma-unit-2031300191/090gbx0/	"""https://www.apartments.com/1387-washington-st-boston-ma-unit-2031300191/090gbx0/"","
https://www.apartments.com/139-washington-st-boston-ma-unit-fl6-id894/5hjv9gm/	"""https://www.apartments.com/139-washington-st-boston-ma-unit-fl6-id894/5hjv9gm/"","
https://www.apartments.com/14-16-derne-st-boston-ma-unit-fl2-id826/z06fcwy/	"""https://www.apartments.com/14-16-derne-st-boston-ma-unit-fl2-id826/z06fcwy/"","
https://www.apartments.com/14-16-derne-st-boston-ma-unit-fl4-id828/mx19b6k/	"""https://www.apartments.com/14-16-derne-st-boston-ma-unit-fl4-id828/mx19b6k/"","
https://www.apartments.com/14-chiswick-rd-boston-ma-unit-21324183/tl04pjc/	"""https://www.apartments.com/14-chiswick-rd-boston-ma-unit-21324183/tl04pjc/"","
https://www.apartments.com/14-chiswick-rd-boston-ma-unit-41324236/x7lsbnp/	"""https://www.apartments.com/14-chiswick-rd-boston-ma-unit-41324236/x7lsbnp/"","
https://www.apartments.com/14-union-park-st-boston-ma-unit-fl2-id460/cvtrlxg/	"""https://www.apartments.com/14-union-park-st-boston-ma-unit-fl2-id460/cvtrlxg/"","
https://www.apartments.com/1410-columbia-rd-boston-ma-unit-fl4-id399/gxqsmqy/	"""https://www.apartments.com/1410-columbia-rd-boston-ma-unit-fl4-id399/gxqsmqy/"","
https://www.apartments.com/1410-columbia-rd-boston-ma-unit-fl6-id794/y19v3es/	"""https://www.apartments.com/1410-columbia-rd-boston-ma-unit-fl6-id794/y19v3es/"","
https://www.apartments.com/1410-columbia-south-boston-ma/y0fgdsr/	"""https://www.apartments.com/1410-columbia-south-boston-ma/y0fgdsr/"","
https://www.apartments.com/142-sutherland-rd-boston-ma-unit-2/cfce3xe/	"""https://www.apartments.com/142-sutherland-rd-boston-ma-unit-2/cfce3xe/"","
https://www.apartments.com/142-sutherland-rd-boston-ma-unit-3/092f7t3/	"""https://www.apartments.com/142-sutherland-rd-boston-ma-unit-3/092f7t3/"","
